strategy,family,combos,tickers,median_oos_cagr,pct_positive_oos,median_oos_sharpe,median_oos_win_rate,median_oos_maxdd,pct_beat_bh_oos
pct_below_ma,mean_reversion,4464,372,0.03196412503727131,0.6617383512544803,0.3761799542673985,0.625,-0.23045190295042617,0.31362007168458783
rsi_reversion,mean_reversion,8928,372,0.04010361289815134,0.6153673835125448,0.30219148127614165,0.6,-0.3931644805621691,0.29245071684587814
pullback_uptrend,price_action,4464,372,0.02035619520878107,0.5887096774193549,0.2331729769540328,0.625,-0.2578637923881366,0.26120071684587814
roc_momentum,momentum,4464,372,0.017604861207841882,0.5418906810035843,0.22402698205548838,0.36363636363636365,-0.392943331459451,0.28360215053763443
rsi_bb_confluence,composite,4464,372,0.009379491447464305,0.5900537634408602,0.21686806887669025,0.6666666666666666,-0.12448392064502167,0.29368279569892475
ma_crossover,momentum,17856,372,0.01708423993903896,0.5572916666666666,0.21250280225221252,0.35714285714285715,-0.3361283056874728,0.2512320788530466
macd_momentum,momentum,2232,372,0.01473935007822802,0.5510752688172043,0.2100555606552791,0.43636363636363634,-0.41087660426184275,0.2517921146953405
support_bounce,price_action,4464,372,0.018411965061481017,0.584005376344086,0.20336676057346226,0.675,-0.2747754164705731,0.2708333333333333
turtle_breakout,price_action,4464,372,0.013208867968041993,0.5459229390681004,0.18452913840399485,0.391304347826087,-0.3590455705317357,0.2594086021505376
zscore_reversion,mean_reversion,4464,372,0.014255196586768881,0.5707885304659498,0.17963437257265702,0.6428571428571429,-0.28236738435429304,0.28360215053763443
bb_reversion,mean_reversion,4464,372,0.014255196586768881,0.5707885304659498,0.17963437257265702,0.6428571428571429,-0.28236738435429304,0.28360215053763443
donchian_breakout_vol,breakout,4464,372,0.007963561190386437,0.5333781362007168,0.163370333018916,0.4,-0.32686936535203953,0.2638888888888889
nbar_high_confirmed,breakout,2232,372,0.004725993945595919,0.514336917562724,0.15134369896692568,0.38235294117647056,-0.3593086038903346,0.2661290322580645
adx_trend,momentum,4464,372,0.0026053089507139804,0.5136648745519713,0.1409188558915657,0.42857142857142855,-0.229422284255402,0.26433691756272404
high_52w_breakout,breakout,2232,372,0.0,0.478494623655914,0.11833396981806307,0.4,-0.2680157438816648,0.24327956989247312
triple_confluence_breakout,composite,4464,372,-0.0011906074395658384,0.47043010752688175,0.0749901937569428,0.4,-0.2936111748506088,0.23521505376344087
atr_channel_breakout,breakout,4464,372,-0.009031566326730467,0.46841397849462363,0.06912606774259203,0.375,-0.336829623842212,0.26590501792114696
bb_breakout_vol,breakout,2232,372,-0.006472880131672021,0.471326164874552,0.05499111296362128,0.36363636363636365,-0.2662521416482652,0.2674731182795699
bb_squeeze_breakout,composite,2232,372,-0.00011330082134025643,0.4650537634408602,0.03650238574256705,0.3333333333333333,-0.16855818907581377,0.2531362007168459
rsi_macd_confluence,composite,4464,372,0.0,0.42943548387096775,0.028169294698431064,0.5,-0.06595625492511914,0.25739247311827956
rsi2_pullback,mean_reversion,8928,372,-0.011190601081608409,0.42349910394265233,-0.004832955100579651,0.6370967741935484,-0.2641440604808465,0.24238351254480286
gap_up_go,price_action,4464,372,-0.006695743529130493,0.4359318996415771,-0.013371419476560826,0.36363636363636365,-0.19270396425631992,0.25336021505376344
